title,category,publish_date,article_url
Terungkap Mario Dandy dkk Pakai Rubicon ke Polsek Usai Aniaya David,detikNews, 15 Jun 2023 21:03 WIB,https://news.detik.com/berita/d-6775255/terungkap-mario-dandy-dkk-pakai-rubicon-ke-polsek-usai-aniaya-david
Moses Korban Tabrak Lari di Cakung Tinggalkan Istri dan 4 Anak,detikNews, 15 Jun 2023 20:59 WIB,https://news.detik.com/berita/d-6775250/moses-korban-tabrak-lari-di-cakung-tinggalkan-istri-dan-4-anak
Polda Metro Tetapkan 44 Tersangka Kasus Judi di Jakpus,detikNews, 15 Jun 2023 20:53 WIB,https://news.detik.com/berita/d-6775243/polda-metro-tetapkan-44-tersangka-kasus-judi-di-jakpus
"Hari Lingkungan Hidup Sedunia, Pertamina Tanam Mangrove-Bersihkan Pantai",detikNews, 15 Jun 2023 20:51 WIB,https://news.detik.com/berita/d-6775239/hari-lingkungan-hidup-sedunia-pertamina-tanam-mangrove-bersihkan-pantai
"3 WN Nigeria Dideportasi dan Ditangkal Masuk RI, Ini Pelanggarannya",detikNews, 15 Jun 2023 20:43 WIB,https://news.detik.com/berita/d-6775214/3-wn-nigeria-dideportasi-dan-ditangkal-masuk-ri-ini-pelanggarannya
Mobil Boks Terguling di Tol Jagorawi Arah Bogor gegara Pecah Ban,detikNews, 15 Jun 2023 20:40 WIB,https://news.detik.com/berita/d-6775204/mobil-boks-terguling-di-tol-jagorawi-arah-bogor-gegara-pecah-ban
KPK Menepis Saat Urusan Yasin Limpo Dituding Politis,detikNews, 15 Jun 2023 20:33 WIB,https://news.detik.com/berita/d-6775198/kpk-menepis-saat-urusan-yasin-limpo-dituding-politis
Menhan Prabowo Komitmen Hapus Budaya Korupsi di Industri Pertahanan,detikNews, 15 Jun 2023 20:31 WIB,https://news.detik.com/berita/d-6775191/menhan-prabowo-komitmen-hapus-budaya-korupsi-di-industri-pertahanan
Bos Judi Online Apin BK Dituntut 5 Tahun Penjara!,detikNews, 15 Jun 2023 20:30 WIB,https://news.detik.com/detiktv/d-6775188/bos-judi-online-apin-bk-dituntut-5-tahun-penjara
"Curhat Anker di Penuhnya Stasiun Sudirman: KRL Lama Datang, Desak-desakan",detikNews, 15 Jun 2023 20:30 WIB,https://news.detik.com/berita/d-6775187/curhat-anker-di-penuhnya-stasiun-sudirman-krl-lama-datang-desak-desakan
Hidayat Nur Wahid Apresiasi Putusan MK Tolak Pemilu Tertutup,detikNews, 15 Jun 2023 20:29 WIB,https://news.detik.com/berita/d-6775184/hidayat-nur-wahid-apresiasi-putusan-mk-tolak-pemilu-tertutup
Pertamina & KLHK Kerja Sama Dukung Pengelolaan Perhutanan Sosial,detikNews, 15 Jun 2023 20:27 WIB,https://news.detik.com/berita/d-6775183/pertamina--klhk-kerja-sama-dukung-pengelolaan-perhutanan-sosial
KPK: Uang Korupsi Tukin Kementerian ESDM Digunakan untuk THR hingga Umrah,detikNews, 15 Jun 2023 20:18 WIB,https://news.detik.com/berita/d-6775145/kpk-uang-korupsi-tukin-kementerian-esdm-digunakan-untuk-thr-hingga-umrah
Ragam Alasan Pemotor Parkir di Trotoar Margonda Depok: Cuma Sebentar,detikNews, 15 Jun 2023 20:17 WIB,https://news.detik.com/berita/d-6775143/ragam-alasan-pemotor-parkir-di-trotoar-margonda-depok-cuma-sebentar
"Beda dengan Istana Merdeka, Trotoar Gedung Putih AS Dibuka untuk Pedestrian",detikNews, 15 Jun 2023 20:14 WIB,https://news.detik.com/berita/d-6775140/beda-dengan-istana-merdeka-trotoar-gedung-putih-as-dibuka-untuk-pedestrian
Paguyuban Sopir dan Dishub DKI Bahas soal Bajaj 'Dikandangin' Besok,detikNews, 15 Jun 2023 20:11 WIB,https://news.detik.com/berita/d-6775135/paguyuban-sopir-dan-dishub-dki-bahas-soal-bajaj-dikandangin-besok
Truk Tabrak Mobil Boks di GT Ciawi 2 Bogor gegara Rem Blong,detikNews, 15 Jun 2023 20:06 WIB,https://news.detik.com/berita/d-6775131/truk-tabrak-mobil-boks-di-gt-ciawi-2-bogor-gegara-rem-blong
4 Fakta 60 Orang Diringkus dari Markas Judi di Jakpus,detikNews, 15 Jun 2023 20:03 WIB,https://news.detik.com/berita/d-6775124/4-fakta-60-orang-diringkus-dari-markas-judi-di-jakpus
"Delegasi Asian Financial Leaders Stuba ke PNM, Bahas Program Mekaar",detikNews, 15 Jun 2023 19:52 WIB,https://news.detik.com/berita/d-6775103/delegasi-asian-financial-leaders-stuba-ke-pnm-bahas-program-mekaar
Firli Bahuri: Penyelidikan Kasus Dugaan Korupsi di Kementan Tak Politis,detikNews, 15 Jun 2023 19:52 WIB,https://news.detik.com/berita/d-6775100/firli-bahuri-penyelidikan-kasus-dugaan-korupsi-di-kementan-tak-politis
